device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp
8021928483,606745572231,"(0.024041960015892982, 0.11900457739830017)","(-174.96986389160156, 188.05340576171875, 60.400020599365234)",1,3.9069671630859375,1,"(-17.56764030456543, -114.13774108886719, 853.23681640625)","(0.5257401466369629, 0.733695924282074, 0.9220327138900757)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619400,0.024041960015892982,0.11900457739830017
8021939586,606745583338,"(0.03137199953198433, 0.1291045993566513)","(-172.2752227783203, 186.09083557128906, 59.685707092285156)",1,3.907928466796875,1,"(-17.772314071655273, -113.91620635986328, 851.645263671875)","(0.5261366367340088, 0.7336719036102295, 0.918828010559082)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619414,0.03137199953198433,0.1291045993566513
8021950689,606745594443,"(0.02749445289373398, 0.13046668469905853)","(-173.70068359375, 185.82614135742188, 59.58937454223633)",1,3.9320068359375,1,"(-18.347238540649414, -114.08741760253906, 853.1346435546875)","(0.5270428657531738, 0.733598530292511, 0.9218493700027466)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619421,0.02749445289373398,0.13046668469905853
8021961792,606745605546,"(0.018560616299510002, 0.10936304926872253)","(-176.98492431640625, 189.92691040039062, 61.081886291503906)",1,3.9124298095703125,1,"(-18.73553466796875, -114.19731140136719, 854.251220703125)","(0.5276488065719604, 0.7335036993026733, 0.9241080284118652)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619432,0.018560616299510002,0.10936304926872253
8021972896,606745616650,"(0.008264615200459957, 0.10574580729007721)","(-180.76991271972656, 190.62977600097656, 61.33771896362305)",1,3.904571533203125,1,"(-18.964935302734375, -114.03997802734375, 852.7667236328125)","(0.5280863046646118, 0.7335896492004395, 0.9211344122886658)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619443,0.008264615200459957,0.10574580729007721
8021983999,606745627753,"(0.014303937554359436, 0.11337561160326004)","(-178.5497589111328, 189.14720153808594, 60.7981071472168)",1,3.9164276123046875,1,"(-19.543222427368164, -114.09841918945312, 853.8698120117188)","(0.5290073752403259, 0.7333806157112122, 0.9233618378639221)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619454,0.014303937554359436,0.11337561160326004
8021995102,606745638856,"(0.025460563600063324, 0.13813073933124542)","(-174.44839477539062, 184.33694458007812, 59.04726028442383)",1,3.9296875,1,"(-19.95033836364746, -114.14686584472656, 855.137939453125)","(0.529634416103363, 0.7331047654151917, 0.9259065985679626)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619464,0.025460563600063324,0.13813073933124542
8022006205,606745649958,"(0.03835856169462204, 0.14653414487838745)","(-169.70684814453125, 182.70404052734375, 58.452919006347656)",1,3.9412994384765625,1,"(-20.114946365356445, -113.965087890625, 853.8148803710938)","(0.5299599766731262, 0.73308926820755, 0.9232441186904907)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619476,0.03835856169462204,0.14653414487838745
8022017308,606745661059,"(0.03375910595059395, 0.1382976770401001)","(-171.39768981933594, 184.30450439453125, 59.03544998168945)",1,3.9256591796875,1,"(-20.751190185546875, -113.92626953125, 855.1823120117188)","(0.5309612154960632, 0.7325863838195801, 0.9259741306304932)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619487,0.03375910595059395,0.1382976770401001
8022028411,606745672160,"(0.015946902334690094, 0.1121959313750267)","(-177.94578552246094, 189.37644958496094, 60.88154983520508)",1,3.8902740478515625,1,"(-21.151897430419922, -113.86055755615234, 856.162109375)","(0.5315844416618347, 0.7321443557739258, 0.9279180765151978)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619498,0.015946902334690094,0.1121959313750267
8022039514,606745683260,"(0.015946902334690094, 0.1121959313750267)","(-177.94578552246094, 189.37644958496094, 60.88154983520508)",1,3.8902740478515625,1,"(-21.402833938598633, -113.49839782714844, 854.9321899414062)","(0.5320494771003723, 0.7316983342170715, 0.9253973364830017)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619535,0.015946902334690094,0.1121959313750267
8022050617,606745694361,"(0.014186781831085682, 0.10927244275808334)","(-178.59283447265625, 189.94451904296875, 61.088287353515625)",1,3.8728485107421875,1,"(-21.963298797607422, -113.33049774169922, 855.97216796875)","(0.5329328775405884, 0.7310099005699158, 0.927442729473114)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619535,0.014186781831085682,0.10927244275808334
8022061721,606745705465,"(0.0289612989872694, 0.12825419008731842)","(-173.1614532470703, 186.256103515625, 59.74576950073242)",1,3.8556671142578125,1,"(-22.442914962768555, -113.18973541259766, 857.348876953125)","(0.5336650609970093, 0.7302867770195007, 0.930159330368042)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619535,0.0289612989872694,0.12825419008731842
8022072824,606745716568,"(0.024835854768753052, 0.10923299193382263)","(-174.6780548095703, 189.9522247314453, 61.09104537963867)",1,3.8395538330078125,1,"(-22.570674896240234, -112.93743896484375, 856.082763671875)","(0.5339311361312866, 0.7300950288772583, 0.9275901913642883)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619550,0.024835854768753052,0.10923299193382263
8022083927,606745727671,"(0.025545470416545868, 0.10992775857448578)","(-174.4171905517578, 189.8172149658203, 61.04192352294922)",1,3.8535003662109375,1,"(-22.419187545776367, -115.42626953125, 857.7698974609375)","(0.5336402654647827, 0.7351064085960388, 0.9315831065177917)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(40.60696029663086, -121.95178985595703, 858.0066528320312)","(0.42925313115119934, 0.7507315278053284, 0.9351618885993958)",1,1706195619556,0.025545470416545868,0.10992775857448578
8022095030,606745738774,"(0.025785479694604874, 0.1146012395620346)","(-174.32894897460938, 188.90908813476562, 60.71135711669922)",1,3.8479156494140625,1,"(-22.603694915771484, -114.7789535522461, 858.031982421875)","(0.5339245200157166, 0.733595073223114, 0.931939959526062)",1,"(0.019246893003582954, 0.16484719514846802)","(-176.73263549804688, 179.14552307128906, 57.15780258178711)",1,3.6523895263671875,1,"(40.71882247924805, -123.38988494873047, 858.5630493164062)","(0.4291325807571411, 0.753733217716217, 0.9366790652275085)",1,1706195619567,0.02,0.14
8022106133,606745749877,"(0.02464655414223671, 0.11831790953874588)","(-174.7476043701172, 188.1868438720703, 60.448486328125)",1,3.867523193359375,1,"(-22.12439727783203, -114.1082992553711, 856.1737060546875)","(0.5332032442092896, 0.7326695322990417, 0.9280551671981812)",1,"(0.013985276222229004, 0.13993945717811584)","(-178.66690063476562, 183.9854736328125, 58.91938400268555)",1,3.6556396484375,1,"(41.74128723144531, -124.17952728271484, 856.8492431640625)","(0.42731669545173645, 0.7560468912124634, 0.9336130619049072)",1,1706195619577,0.02,0.13
8022117236,606745760979,"(0.03151170164346695, 0.12668807804584503)","(-172.22386169433594, 186.5604248046875, 59.856510162353516)",1,3.8640289306640625,1,"(-22.44394874572754, -114.6817398071289, 857.1820068359375)","(0.5336968302726746, 0.733634352684021, 0.9302215576171875)",1,"(0.016595425084233284, 0.1400967538356781)","(-177.70736694335938, 183.9549102783203, 58.90824890136719)",1,3.687713623046875,1,"(42.01674270629883, -126.51652526855469, 858.1187133789062)","(0.4269962012767792, 0.7608059644699097, 0.9368242025375366)",1,1706195619589,0.02,0.13
