gaze_timestamp,world_index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
-916348.899866,1187,0.7608478177285403,0.6208122303984613,0.31877229862215206,-916348.899866-1,152.8926309549343,88.16861990486836,732.1779856386277,,,,,,,89.86416764223368,-396.31182287820343,838.508194766411,0.12605692662540127,0.9689608855661437,-0.21266041825556647
-916348.894833,1187,0.7715136335978902,0.6207106604428192,0.31874536804996245,-916348.894833-1,152.76280341857773,88.18303448410018,732.1667879346608,,,,,,,89.86416764223368,-396.31182287820343,838.508194766411,0.12579727155268813,0.9689897147246073,-0.21268281366350045
-916348.887371,1187,0.7689908751404322,0.6203271322712045,0.3186142590591542,-916348.887371-1,152.33314547147614,88.29255176334453,732.4128278211773,,,,,,,89.86416764223368,-396.31182287820343,838.508194766411,0.12493795565848498,0.9692087492830959,-0.2121907338904674
-916348.875333,1187,0.0,0.47363246200731995,0.34420160507076847,-916348.875333-1,-30.439838602275543,85.17091202979185,899.3466864229115,,,,,,,89.86416764223368,-396.31182287820343,838.508194766411,-0.2406080124890184,0.9629654698159907,0.12167698331300096
-916348.8674410001,1187,0.0,0.47363246200731995,0.34420160507076847,-916348.8674410001-1,-30.439838602275543,85.17091202979185,899.3466864229115,,,,,,,89.86416764223368,-396.31182287820343,838.508194766411,-0.2406080124890184,0.9629654698159907,0.12167698331300096
-916348.858994,1188,0.0,0.47363246200731995,0.34420160507076847,-916348.858994-1,-30.439838602275543,85.17091202979185,899.3466864229115,,,,,,,89.86416764223368,-396.31182287820343,838.508194766411,-0.2406080124890184,0.9629654698159907,0.12167698331300096
-916348.8514,1188,0.9584534647045366,0.6144894137875049,0.3263577858639519,-916348.8514-1,135.60691184210788,77.49408238851527,685.4867404292822,,,,,,,89.86416764223368,-396.31182287820343,838.508194766411,0.09148548839974838,0.9476118105334373,-0.30604290867425743
-916348.838656,1188,0.0,0.47363246200731995,0.34420160507076847,-916348.838656-1,-30.439838602275543,85.17091202979185,899.3466864229115,,,,,,,89.86416764223368,-396.31182287820343,838.508194766411,-0.2406080124890184,0.9629654698159907,0.12167698331300096
-916348.83312,1188,0.7375787340009339,0.6143165673972271,0.32232165548607195,-916348.83312-1,138.4772660634051,81.87607843522323,700.7653267138185,,,,,,,89.86416764223368,-396.31182287820343,838.508194766411,0.09722619684234284,0.9563758026268533,-0.2754857361051852
-916348.827515,1188,0.7496512954946769,0.612745730532828,0.32169895137086957,-916348.827515-1,136.846661358274,82.39319994158734,702.0012483815268,,,,,,,89.86416764223368,-396.31182287820343,838.508194766411,0.09396498743208065,0.9574100456395817,-0.2730138927697684
