device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp
1826010507,1031530198016,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-161.8904571533203, -87.43108367919922, 884.5181884765625)","(0.7563589811325073, 0.6646601557731628, 1.0069035291671753)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401563
1826021610,1031530209117,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-161.6249237060547, -87.31317901611328, 883.1102294921875)","(0.7563466429710388, 0.6647059321403503, 1.0040286779403687)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401574
1826032713,1031530220219,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-161.30059814453125, -87.34626007080078, 883.0899658203125)","(0.7558306455612183, 0.6647876501083374, 1.0038793087005615)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401586
1826043816,1031530231322,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-160.20924377441406, -86.63298797607422, 877.2788696289062)","(0.7557802796363831, 0.6644889116287231, 0.9919714331626892)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401597
1826054919,1031530242424,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-159.03953552246094, -86.00980377197266, 871.8148803710938)","(0.7554986476898193, 0.6643105149269104, 0.9807329177856445)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401608
1826066022,1031530253527,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-159.03976440429688, -86.01140594482422, 871.8150024414062)","(0.7554990649223328, 0.6643140316009521, 0.9807335138320923)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401646
1826077126,1031530264631,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-158.1538848876953, -85.18992614746094, 867.3003540039062)","(0.7553917169570923, 0.6634932160377502, 0.9714173674583435)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401646
1826088229,1031530275733,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-157.5462646484375, -84.72468566894531, 863.6231689453125)","(0.7554939389228821, 0.6632634401321411, 0.9639094471931458)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401646
1826099332,1031530286836,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-157.5465087890625, -84.7262954711914, 863.6233520507812)","(0.7554942965507507, 0.6632669568061829, 0.9639101624488831)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401651
1826110435,1031530297940,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-157.0658416748047, -84.41889190673828, 861.0885009765625)","(0.7554633021354675, 0.6631380319595337, 0.9587150812149048)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401663
